"firebase_id","role","sport","status","tested_skill","version","question_en","question_fr","question_es","question_it","answer_1_emoji","answer_1_score","answer_1_order","answer_1_text_en","answer_1_text_fr","answer_1_text_es","answer_1_text_it","answer_2_emoji","answer_2_score","answer_2_order","answer_2_text_en","answer_2_text_fr","answer_2_text_es","answer_2_text_it","answer_3_emoji","answer_3_score","answer_3_order","answer_3_text_en","answer_3_text_fr","answer_3_text_es","answer_3_text_it","answer_4_emoji","answer_4_score","answer_4_order","answer_4_text_en","answer_4_text_fr","answer_4_text_es","answer_4_text_it","answer_5_emoji","answer_5_score","answer_5_order","answer_5_text_en","answer_5_text_fr","answer_5_text_es","answer_5_text_it","answer_6_emoji","answer_6_score","answer_6_order","answer_6_text_en","answer_6_text_fr","answer_6_text_es","answer_6_text_it"
"AH7Q0F2Iy9Ut2q0ocDdW","midfielder","soccer","published","shooting",1,"You get a back pass right in front of the box...","Tu reçois une passe en retrait juste devant la surface…","Te llega un pase atrás justo frente al área...","Ricevi un passaggio indietro proprio davanti all'area...","😩",2,1,"I completely miss the ball","Je loupe complètement le ballon","Fallo completamente el balón","Manco completamente la palla","😵‍💫",4,2,"I shoot without control and it goes out","Je frappe sans contrôle et ça sort","Disparo sin control y se va fuera","Tiro senza controllo e va fuori","😅",6,3,"I shoot but it's too weak","Je tire mais c’est trop mou","Tiro pero es muy suave","Tiro ma è troppo debole","💪",8,4,"I hit the target but it's not dangerous","Je cadre sans danger","Apunto sin peligro","Inquadro senza pericolo","🦾",10,5,"I shoot hard, the goalkeeper pushes it away","Je frappe fort, le gardien repousse","Disparo fuerte, el portero rechaza","Tiro forte, il portiere respinge","😎",12,6,"I score with a well-placed shot","Je marque avec une frappe placée","Marco con un tiro colocado","Segno con un tiro piazzato"
"AtrFhG1FGTMfRnHTFqec","forward","soccer","published","meta",1,"Among your friends who also play, what level are you at?","Parmi tes potes qui jouent aussi, tu es à quel niveau ?","Entre tus amigos que también juegan, ¿en qué nivel estás?","Tra i tuoi amici che giocano anche, a che livello sei?","😩",2,1,"I'm at the bottom of the pack","Je suis en bas du panier","Estoy en el fondo del barril","Sono in fondo al gruppo","😵‍💫",4,2,"I'm not very good","Je suis pas très bon","No soy muy bueno","Non sono molto bravo","😅",6,3,"I manage","Je me débrouille","Me las arreglo","Me la cavo","💪",8,4,"I'm in the higher average","Je suis dans la moyenne haute","Estoy en la media alta","Sono nella media alta","🦾",10,5,"I'm often among the best","Je suis souvent parmi les meilleurs","A menudo estoy entre los mejores","Sono spesso tra i migliori","😎",12,6,"I'm above the rest","Je suis au-dessus du lot","Estoy por encima del promedio","Sono al di sopra della media"
"AuWojYPXjhQ0q5eSP8mJ","midfielder","soccer","published","meta",1,"When you play, your team usually...","Quand tu joues, ton équipe a l’habitude de…","Cuando juegas, tu equipo suele...","Quando giochi, la tua squadra è solita...","😩",2,1,"Getting thrashed every time","Se faire éclater à chaque fois","Ser aplastado cada vez","Essere sconfitti ogni volta","😵‍💫",4,2,"Lose often","Perdre souvent","Perder a menudo","Perdere spesso","😅",6,3,"Win/lose, it depends","Perdre/gagner, ça dépend","Perder/ganar, depende","Perdere/vincere, dipende","💪",8,4,"Win a bit more than they lose","Gagner un peu plus qu’elle perd","Ganar un poco más de lo que pierde","Vincere un po' più di quanto perde","🦾",10,5,"Win often","Gagner souvent","Ganar a menudo","Vincere spesso","😎",12,6,"Win almost all the time","Gagner presque tout le temps","Ganar casi todo el tiempo","Vincere quasi sempre"
"BANci1RkENJGmDfh575p","forward","soccer","published","meta",1,"Regarding concentration, on the field, you're...","Niveau concentration, sur le terrain, tu es…","En cuanto a concentración, en el campo, eres...","Livello di concentrazione, in campo, sei...","😩",2,1,"Always elsewhere","Toujours ailleurs","Siempre en otro lado","Sempre altrove","😵‍💫",4,2,"I often drift off","Je décroche souvent","Me desconcentro a menudo","Mi distraggo spesso","😅",6,3,"It depends on the moments","Ça dépend des moments","Depende del momento","Dipende dai momenti","💪",8,4,"Rather focused","Plutôt concentré","Más bien concentrado","Piuttosto concentrato","🦾",10,5,"Focused almost the whole game","Focus quasi tout le match","Casi todo el partido enfocado","Quasi tutto il match concentrato","😎",12,6,"Nothing distracts me","Rien ne me déconcentre","Nada me desconcentra","Niente mi distrae"
"BFIIjHsQdmftBDNNTxyr","defender","soccer","published","meta",1,"Le plus important pour toi, c'est de…","Le plus important pour toi, c'est de…","Lo más importante para ti es...","La cosa più importante per te è…","😩",2,1,"Laugh, not take myself seriously","Rigoler, ne pas me prendre au sérieux","Reír, no tomarme en serio","Ridere, non prendermi sul serio","😵‍💫",4,2,"Me défouler un peu","Me défouler un peu","Desahogarme un poco","Sfamarmi un po'","😅",6,3,"Passer un bon moment entre potes","Passer un bon moment entre potes","Pasar un buen rato entre amigos","Passare un buon momento tra amici","💪",8,4,"Être utile à l’équipe","Être utile à l’équipe","Ser útil para el equipo","Essere utile alla squadra","🦾",10,5,"Gagner si possible","Gagner si possible","Ganar si es posible","Vincere se possibile","😎",12,6,"Gagner, peu importe comment","Gagner, peu importe comment","Ganar, sin importar cómo","Vincere, a qualunque costo"
"CH9twsfxj6h65U5PKn7r","goalkeeper","soccer","published","communication",1,"An opposing player is lurking alone behind your defender...","Un joueur adverse rôde seul dans le dos de ton défenseur…","Un jugador contrario está merodeando solo detrás de tu defensor...","Un giocatore avversario si aggira da solo dietro il tuo difensore...","😩",2,1,"I say nothing, I watch","Je dis rien, je regarde","No digo nada, solo miro","Non dico niente, guardo","😵‍💫",4,2,"I warn too late","Je préviens trop tard","Aviso demasiado tarde","Avverto troppo tardi","😅",6,3,"The defender doesn't listen to me","Le défenseur ne m’écoute pas","El defensor no me escucha","Il difensore non mi ascolta","💪",8,4,"The defender hears me but doesn't react","Le défenseur m’entend mais ne réagit pas","El defensor me oye pero no reacciona","Il difensore mi sente ma non reagisce","🦾",10,5,"My defender understands but takes time to adapt","Mon défenseur comprend et met du temps à s’adapter","Mi defensor entiende y tarda en adaptarse","Il mio difensore capisce e ci mette tempo ad adattarsi","😎",12,6,"I signal it loud and clear, he takes charge","Je le signale fort et clair, il le prend en charge","Lo señalo fuerte y claro, él se encarga","Lo segnalo forte e chiaro, lui se ne occupa"
"D6yx7GN6K0HcxU5Z4q2U","forward","soccer","published","defence",1,"You're defending against an opponent setting up from deep...","Tu défends sur un relanceur adverse en position basse…","Estás defendiendo a un rival que se está armando desde el fondo...","Stai difendendo contro un avversario che imposta il gioco dal basso...","😩",2,1,"I don't defend","Je ne défends pas","No defiendo","Non difendo","😵‍💫",4,2,"I'm too far to intervene","Je suis trop loin pour intervenir","Estoy demasiado lejos para intervenir","Sono troppo lontano per intervenire","😅",6,3,"I approach but too late","Je m’approche mais trop tard","Me acerco pero demasiado tarde","Mi avvicino ma troppo tardi","💪",8,4,"I force a pass backward","Je force une passe vers l’arrière","Fuerzo un pase hacia atrás","Forzo un passaggio all'indietro","🦾",10,5,"I block his passing option","Je coupe sa solution de passe","Corto su opción de pase","Taglio la sua opzione di passaggio","😎",12,6,"I completely prevent him from counterattacking","Je l’empêche totalement de relancer","Le impido totalmente relanzar","Gli impedisco totalmente di rilanciare"
"DDjU4K08TN0m0vRtuZuj","forward","soccer","published","dribbling",1,"You're facing a defender 1v1 in the last 10 yards...","Tu es face à un défenseur en 1v1 dans les 10 derniers mètres…","Te enfrentas a un defensor 1 a 1 en los últimos 10 metros...","Sei di fronte a un difensore in un 1 contro 1 negli ultimi 10 metri...","😩",2,1,"I get caught without dribbling","Je me fais prendre sans dribbler","Me atrapan sin driblar","Mi faccio prendere senza dribblare","😵‍💫",4,2,"I attempt a slow feint","Je tente un crochet lent","Intento un regate lento","Provo un dribbling lento","😅",6,3,"I get past him but lose the ball afterward","Je le passe mais je perds la balle après","Lo paso pero pierdo el balón después","Lo supero ma perdo la palla dopo","💪",8,4,"I overpower him","Je l’élimine en force","Lo elimino con fuerza","Lo elimino con forza","🦾",10,5,"I dribble and shoot immediately","Je dribble et je frappe dans la foulée","Driblo y disparo de inmediato","Dribblo e tiro subito dopo","😎",12,6,"I get past him cleanly and score","Je le passe proprement et je marque","Lo paso limpiamente y marco","Lo supero pulito e segno"
"DMM9GudUQshuunqhsNpO","midfielder","soccer","published","pace",1,"The opponent's counter-attacking, you need to get back on defense...","L’adversaire contre-attaque, tu dois revenir défendre…","El rival está contraatacando, ¡necesitas volver a defender!","L'avversario sta contrattaccando, devi tornare in difesa!","😩",2,1,"I just walk back","Je reste en marchant","Me quedo caminando","Resto camminando","😵‍💫",4,2,"I jog back slowly","Je reviens au petit trot","Regreso al trote","Torno al piccolo trotto","😅",6,3,"I follow the play from a distance","Je suis l’action de loin","Sigo la acción de lejos","Seguo l'azione da lontano","💪",8,4,"I get back late but disrupt the play","Je reviens tard mais je gêne","Regreso tarde pero molesto","Torno tardi ma disturbo","🦾",10,5,"I'm in the box","Je suis présent dans la surface","Estoy presente en el área","Sono presente nell'area","😎",12,6,"I sprint back and stop the play","Je reviens à fond et je coupe l’action","Regreso a fondo y corto la acción","Torno a tutta e interrompo l'azione"
"DPTYRVoalvMivngd4Mrp","defender","soccer","published","dribbling",1,"You take the ball upfield, an opponent's in your face...","Tu montes avec le ballon, un adversaire te fait face…","Llevas el balón al campo rival, un oponente te enfrenta...","Porti il pallone in avanti, un avversario ti si para davanti...","😩",2,1,"I slow down, I don't know what to do","Je ralentis, je sais pas quoi faire","Me detengo, no sé qué hacer","Rallento, non so cosa fare","😵‍💫",4,2,"I try a dribble and get caught","Je tente un dribble et je me fais prendre","Intento un regate y me quitan el balón","Provo un dribbling e vengo preso","😅",6,3,"I stop and lose the ball","Je m’arrête et je perds le ballon","Me detengo y pierdo el balón","Mi fermo e perdo la palla","💪",8,4,"I barely get past him","Je l’élimine de justesse","Lo elimino por poco","Lo elimino per un pelo","🦾",10,5,"I dribble past him then pass","Je le dribble puis je passe","Lo regateo y luego paso","Lo dribblo e poi passo","😎",12,6,"I take him on and follow through perfectly","Je le fixe et j’enchaîne parfaitement","Lo fijo y encadeno perfectamente","Lo fisso e concateno perfettamente"
"ECDl3pGJbnaHpSSoNakA","defender","soccer","published","meta",1,"Regarding concentration, on the field, you're...","Niveau concentration, sur le terrain, tu es…","En cuanto a concentración, en el campo, eres...","Livello di concentrazione, in campo, sei...","😩",2,1,"Always elsewhere","Toujours ailleurs","Siempre en otro lado","Sempre altrove","😵‍💫",4,2,"I often drift off","Je décroche souvent","Me desconcentro a menudo","Mi distraggo spesso","😅",6,3,"It depends on the moments","Ça dépend des moments","Depende del momento","Dipende dai momenti","💪",8,4,"Rather focused","Plutôt concentré","Más bien concentrado","Piuttosto concentrato","🦾",10,5,"Focused almost the whole game","Focus quasi tout le match","Casi todo el partido enfocado","Quasi tutto il match concentrato","😎",12,6,"Nothing distracts me","Rien ne me déconcentre","Nada me desconcentra","Niente mi distrae"
"EV1tbCpTsx3AYtizcXL1","goalkeeper","soccer","published","meta",1,"Regarding concentration, on the field, you're...","Niveau concentration, sur le terrain, tu es…","En cuanto a concentración, en el campo, eres...","Livello di concentrazione, in campo, sei...","😩",2,1,"Always elsewhere","Toujours ailleurs","Siempre en otro lado","Sempre altrove","😵‍💫",4,2,"I often drift off","Je décroche souvent","Me desconcentro a menudo","Mi distraggo spesso","😅",6,3,"It depends on the moments","Ça dépend des moments","Depende del momento","Dipende dai momenti","💪",8,4,"Rather focused","Plutôt concentré","Más bien concentrado","Piuttosto concentrato","🦾",10,5,"Focused almost the whole game","Focus quasi tout le match","Casi todo el partido enfocado","Quasi tutto il match concentrato","😎",12,6,"Nothing distracts me","Rien ne me déconcentre","Nada me desconcentra","Niente mi distrae"
